Name0,Desc1,Desc2,Name1,HEX,R,G,B,Hue,Sat,Lum
black,Black,Black,Black,#000000,0,0,0,0,0.0,0.0
red,medium dark red,Dark red,Deep maroon,#820000,130,0,0,0,100.0,25.5
red,medium dark red,Dark red,Deep red,#850101,133,1,1,0,98.5,26.3
red,medium dark red,Dark red,Blood,#8a0303,138,3,3,0,95.7,27.6
red,medium dark red,Dark red,Darkred,#8B0000,139,0,0,0,100.0,27.3
grey,gray,Dark gray,Philippine gray,#8C8C8C,140,140,140,0,0.0,54.9
brown,red,Mostly desaturated dark red,Rose taupe,#905D5D,144,93,93,0,21.5,46.5
brown,red,Dark moderate red,CopperRust,#944747,148,71,71,0,35.2,42.9
brown,red,Mostly desaturated dark red,Pantone,#956666,153,102,102,0,18.7,49.2
grey,gray,Dark gray,"Gray,Trolley Grey",#808080,128,128,128,0,0.0,50.2
grey,gray,Dark gray,Spanish gray,#989898,152,152,152,0,0.0,59.6
brown,red,Mostly desaturated dark red,Copper rose,#996666,149,102,102,0,20.0,50.0
red,medium dark  red,Dark red,Dark candy apple red,#a40000,164,0,0,0,100.0,32.2
red,medium dark red,Dark red,Blood (Animal),#a41313,164,19,19,0,79.2,35.9
brown,red,Dark red,"Brown,Red brown,Auburn",#A52A2A,165,42,42,0,59.4,40.6
brown,red,Dark moderate red,Middle red purple,#A55353,165,83,83,0,33.1,48.6
red,red,Dark red,Metallic red,#a62c2b,166,44,43,0,58.9,41.0
grey,medium light gray,Gray,Quick Silver,#A6A6A6,166,166,166,0,0.0,65.1
grey,medium light gray,Gray,Darkgray,#A9A9A9,169,169,169,0,0.0,66.3
red,medium dark red,Dark red,"Crimson Red,Stizza,USC Cardinal",#990000,153,0,0,0,100.0,30.0
brown,medium dark red,Dark moderate red,American brown,#804040,128,64,64,0,33.3,37.6
red,medium dark red,Dark red,Falu red,#801818,128,24,24,0,68.4,29.8
red,medium dark red,Dark red,Maroon,#800000,128,0,0,0,100.0,25.1
black,very dark gray,Very dark gray (mostly black),Eerie black,#1B1B1B,27,27,27,0,0.0,10.6
black,very dark red,Very dark (mostly black) red,SealBrown,#321414,50,20,20,0,42.9,13.7
grey,dark  gray,Very dark gray,Dark charcoal,#333333,51,51,51,0,0.0,20.0
grey,dark  gray,Very dark gray,Jet,#343434,52,52,52,0,0.0,20.4
black,dark red,Very dark grayish red,Black coffee,#3B2F2F,59,47,47,0,11.3,20.8
black,dark red,Very dark red,Dark sienna,#3C1414,60,20,20,0,50.0,15.7
grey,medium dark  gray,Very dark gray,Pewter grey,#404040,64,64,64,0,0.0,25.1
grey,medium dark gray,Very dark gray,Davy's grey,#555555,85,85,85,0,0.0,33.3
brown,dark orange,Very dark orange [Brown tone],Seal brown,#59260B,89,38,11,0,78.0,19.6
brown,dark red,Very dark red,Blood (organ),#630f0f,99,15,15,0,73.7,22.4
brown,dark  red,Very dark red,Blood red,#660000,102,0,0,0,100.0,20.0
grey,gray,Very dark gray,Granite gray,#676767,103,103,103,0,0.0,40.4
grey,gray,Very dark gray,Dimgray,#696969,105,105,105,0,0.0,41.2
brown,medium dark red,Very dark red,Persian plum,#701C1C,112,28,28,0,60.0,27.5
brown,medium dark red,Dark moderate red,Garnet,#733635,115,54,53,0,36.9,32.9
grey,gray,Dark gray,Sonic silver,#757575,117,117,117,0,0.0,45.9
brown,medium dark red,Dark moderate red,TuscanRed,#7B3636,123,54,54,0,39.0,34.7
brown,medium dark red,Dark moderate red,Deep scarlet (Kokiake),#7b3b3a,123,59,58,0,35.9,35.5
brown,medium dark red,Mostly desaturated dark red,Tuscan red,#7C4848,124,72,72,0,26.5,38.4
brown,red,Mostly desaturated dark red,Cherry blossom mouse (Sakuranezumi),#AC8181,172,129,129,0,20.6,59.0
black,very dark gray,Very dark gray (mostly black),Chinese black,#141414,20,20,20,0,0.0,7.8
grey,medium light gray,Gray,Silver chalice,#ACACAC,172,172,172,0,0.0,67.5
red,red,Strong red,Carnelian,#B31B1B,179,27,27,0,73.8,40.4
red,red,Bright red,Permanent Geranium Lake,#E12C2C,225,44,44,0,75.1,52.7
brown,light red,Light grayish red,RosyBrownLight,#E2CACA,226,202,202,0,29.3,83.9
red,red,Pure (or mostly pure) red,Electric red,#e60000,230,0,0,0,100.0,45.1
red,red,Vivid red,Lust,#E62020,230,32,32,0,79.8,51.4
brown,very light red,Light grayish red,Dulux 70RR 74,#EBDBDB,235,219,219,0,28.6,89.0
brown,very light red,Light grayish red,Lotion pink,#eccfcf,236,207,207,0,43.3,86.9
red,red,Bright red,Vivaldi Red,#ef3939,239,57,57,0,85.0,58.0
red,medium light red,Soft red,Lightcoral,#F08080,240,128,128,0,78.9,72.2
red,red,Pure (or mostly pure) red,Raspberry,#E00000,255,0,0,0,100.0,43.9
red,light red,Very soft red,Peach Burst,#f39998,243,153,152,0,79.1,77.5
white,very light gray,Very light gray (mostly white),Whitesmoke,#F5F5F5,245,245,245,0,0.0,96.1
white,very light  gray,Very light gray (mostly white),Guyabano,#f8f8f8,248,248,248,0,0.0,97.3
red,red,Pure (or mostly pure) red,Red,#FF0000,255,0,0,0,100.0,50.0
red,medium light red,Light red,Coral red,#FF4040,255,64,64,0,100.0,62.5
pink,light  red,Very light red,Light salmon pink,#FF9999,255,153,153,0,100.0,80.0
pink,very light red,Very pale (mostly white) red,PaleItalianApricot,#FFE6E6,255,230,230,0,100.0,95.1
white,very light red,Very pale (mostly white) red,Snow,#FFFAFA,255,250,250,0,100.0,99.0
white,very light red,Very pale (mostly white) red,LightRoseWhite,#FFFBFB,255,251,251,0,100.0,99.2
pink,very light red,Very soft red,"Tea rose,Baby pink",#F4C2C2,222,194,194,0,69.4,85.9
grey,very light  gray,Very light gray,Gainsboro,#DCDCDC,220,220,220,0,0.0,86.3
grey,very light  gray,Very light gray,LavenderTint,#DADADA,218,218,218,0,0.0,85.5
red,red,Bright red,Maximum red,#D92121,217,33,33,0,73.6,49.0
grey,medium light gray,Gray,Philippine silver,#b3b3b3,179,179,179,0,0.0,70.2
red,red,Strong red,Red cola,#b62020,182,32,32,0,70.1,42.0
brown,red,Slightly desaturated red,LightPersianPlum,#B76969,183,105,105,0,35.1,56.5
brown,medium light red,Grayish red,Rosybrown,#BC8F8F,188,143,143,0,25.1,64.9
grey,medium light gray,Gray,Gray (X11 gray),#BEBEBE,190,190,190,0,0.0,74.5
brown,medium light red,Grayish red,Tuscany,#C09999,192,153,153,0,23.6,67.6
grey,light  gray,Light gray,Silver,#C0C0C0,192,192,192,0,0.0,75.3
red,red,Strong red,Persian red,#CC3333,204,51,51,0,60.0,50.0
brown,red,Moderate red,Girlsenberry,#CC5555,204,85,85,0,53.8,56.7
brown,medium light red,Moderate red,Fuzzy Wuzzy,#CC6666,204,102,102,0,50.0,60.0
grey,light  gray,Light gray,Chinese silver,#cccccc,204,204,204,0,0.0,80.0
red,red,Moderate red,"Chestnut,Indian red",#CD5C5C,205,92,92,0,53.1,58.2
brown,medium light red,Slightly desaturated red,CopperRustLight,#CD9999,205,153,153,0,34.2,70.2
brown,medium light red,Grayish red,PaleMauve,#CFA4A4,197,164,164,0,30.9,72.7
grey,light gray,Light gray,American silver,#cfcfcf,207,207,207,0,0.0,81.2
grey,light  gray,Light gray,Lightgray,#D3D3D3,211,211,211,0,0.0,82.7
red,red,Strong red,Rosso corsa,#D40000,212,0,0,0,100.0,41.6
grey,light gray,Light gray,Aluminum,#d6d6d6,214,214,214,0,0.0,83.9
grey,light gray,Light gray,Light silver,#D8D8D8,216,216,216,0,0.0,84.7
red,red,Dark red,Firebrick (Fire Brick),#B22222,178,34,34,0,67.9,41.6
black,very dark  gray,Very dark gray (mostly black),Vampire black,#080808,8,8,8,0,0.0,3.1
white,very light  gray,White,White,#FFFFFF,255,255,255,0,0.0,100.0
pink,very light red,Very soft red,Spanish pink,#F7BFBE,247,191,190,1,78.1,85.7
pink,very light red,Very pale red [Pink tone],Light red,#ffcccb,255,204,203,1,100.0,89.8
brown,medium dark red,Very dark desaturated red,Deep coffee,#704241,112,66,65,1,26.6,34.7
brown,red,Moderate red,Long spring (season) color (Chōshun-iro),#b95754,185,87,84,1,41.9,52.7
pink,very light pink-red,Very soft red,LightFroly,#FBBBC4,251,197,196,1,88.9,85.9
red,red,Strong red,Greyed red (lit. silvered red) (Ginshu),#bc2d29,188,45,41,1,64.2,44.9
brown,medium dark red,Very dark red,Red bean color (Azuki-iro),#672422,103,36,34,1,50.4,26.9
pink,light red,Very soft red,Pastel pink,#DEA5A4,222,165,164,1,46.8,75.7
brown,medium light red,Slightly desaturated red,PuceOrange,#D66F6C,214,111,108,2,56.4,63.1
red,medium dark red,Dark red,TeaRed,#9C0D07,156,13,7,2,91.4,32.0
brown,dark red,Very dark red,Philippine brown,#5d1916,93,25,22,2,61.7,22.5
red,red,Pure (or mostly pure) red,Candy apple red,#FF0800,255,8,0,2,100.0,50.0
red,medium light red,Bright red,Tart Orange,#FB4D46,251,77,70,2,95.8,62.9
brown,medium dark red,Dark red,Vivid auburn,#922724,147,39,36,2,60.4,35.7
brown,medium dark red,Dark moderate red,Brandy,#87413F,135,65,63,2,36.4,38.8
pink,light red,Very soft red,ChinesePeach,#FEB4B1,254,180,177,2,97.5,84.5
red,medium light red,Light red,Crayola Red Orange,#FF3F34,255,63,52,3,100.0,60.2
red,medium dark red,Strong red,International orange (engineering),#BA160C,186,22,12,3,87.9,38.8
brown,red,Moderate red,Deep chestnut,#B94E48,185,78,72,3,44.7,50.4
brown,red,Dark red,Sweet Brown,#A83731,168,55,49,3,54.8,42.5
grey,very light red,Light grayish red,MauveChalk,#E4D3D2,228,211,210,3,25.0,85.9
brown,medium light red,Slightly desaturated red,MediumCarminePink,#C08181,192,128,125,3,33.3,62.9
red,medium light red,Soft red,CarminePink-Orange,#E66761,230,103,97,3,72.7,64.1
red,red,Bright red,Strawberry Daiquiri,#d9463e,217,70,62,3,67.1,54.7
pink,very light red,Light grayish red,PalePink,#FACCCA,249,204,202,3,82.8,88.6
brown,medium light red,Slightly desaturated red,New York pink,#d7837f,215,131,127,3,52.4,67.1
orange,medium light red,Light red,"Orange-red,Red Orange",#FF5349,255,83,73,3,100.0,64.3
orange,medium light red,Soft red,Sunset Orange,#fd5e53,253,94,83,3,97.7,65.9
