index,Name0,Hue,Sat,Lum
16724940,pink,315.0,100.0,60.0
16773339,brown,35.0,100.0,92.9
13320459,red,17.0,89.7,42.0
11007026,green,84.0,89.8,57.6
9994619,grey,12.0,12.3,53.9
10226951,red,2.0,91.4,32.0
8983622,purple,334.0,74.5,30.8
2690565,black,15.0,78.3,9.0
5847591,brown,22.0,39.1,25.1
2306151,blue,229.0,49.3,27.1
205,blue,240.0,100.0,40.2
10985099,grey,41.0,13.7,60.0
16738047,purple,300.0,100.0,70.0
13942507,purple,291.0,52.9,83.3
12232897,grey,283.0,16.8,70.8
14544064,grey,80.0,53.7,83.9
15731620,pink,320.0,91.2,49.2
10300194,brown,4.0,64.4,37.5
9321049,purple,338.0,42.0,39.2
16279375,orange,8.0,92.3,64.1
2111544,grey,180.0,27.3,17.3
11509385,brown,33.0,19.2,61.2
14280272,green,65.0,75.0,60.8
16038911,purple,294.0,100.0,86.7
13408767,purple,270.0,100.0,80.0
29647,blue,207.0,100.0,40.6
14745599,cyan,180.0,100.0,93.9
11259375,blue,210.0,68.0,80.4
14474460,grey,0.0,0.0,86.3
10616941,pink,320.0,100.0,31.8
15489024,orange,22.0,100.0,46.3
11175734,brown,41.0,51.8,43.9
16740351,pink,300.0,100.0,71.8
16643834,white,326.0,63.6,97.8
16315647,white,261.0,100.0,97.8
15225749,pink,333.0,76.4,61.8
11226706,brown,357.0,37.3,48.8
583902,cyan,177.0,93.3,47.1
15081504,red,0.0,79.8,51.4
13579382,pink,334.0,61.8,50.8
8782097,red,353.0,98.5,26.5
9425920,green,80.0,100.0,41.6
8421376,grey,60.0,100.0,25.1
20376,blue,209.0,100.0,29.8
15744367,pink,343.0,85.6,59.0
1776411,black,0.0,0.0,10.6
9895680,green,84.0,100.0,50.0
14997871,yellow,54.0,68.4,66.5
1789246,green,162.0,48.1,20.4
13697052,red,351.0,100.0,41.0
16730476,pink,348.0,100.0,64.3
7549824,purple,290.0,43.0,35.1
4141370,grey,321.0,12.5,22.0
3846302,green,171.0,50.4,45.9
15499860,brown,18.0,80.0,62.7
6964013,brown,21.0,40.4,29.6
16768463,pink,18.0,100.0,90.6
5594448,grey,97.0,7.5,33.9
7453816,green,125.0,35.9,59.0
12964070,blue,220.0,39.8,83.7
26367,blue,216.0,100.0,50.0
16570647,yellow,51.0,97.4,53.9
7162970,grey,335.0,17.8,36.3
4075396,purple,251.0,47.5,35.1
65407,green,150.0,100.0,50.0
14879580,red,338.0,90.8,46.7
1661189,green,106.0,89.4,18.4
10752787,red,0.0,79.2,35.9
10810617,cyan,183.0,87.6,81.0
12288321,brown,31.0,48.4,49.4
13989941,brown,25.0,65.6,52.2
14996528,yellow,55.0,76.9,54.1
13697110,red,335.0,100.0,41.0
