Desc2,Hue,Sat,Lum
Black,0.0,0.0,0.0
Black,50.0,0.0,0.0
Black,26.7,29.7,9.9
Black,65.0,32.6,11.3
Black,100.0,0.0,0.0
Blue,56.5,100.0,48.2
Blue-purple,75.4,100.0,50.0
Blue-violet,68.8,100.0,50.0
Blueish white,62.2,100.0,97.9
Blueish white,64.4,100.0,98.2
Bright blue,59.1,77.4,55.7
Bright blue,61.6,80.3,56.1
Bright cyan,50.7,75.4,57.1
Bright green,23.6,89.1,58.4
Bright orange,6.6,83.2,55.9
Bright pink,92.7,84.6,57.2
Bright purple,83.9,82.2,57.1
Bright red,1.1,79.0,55.2
Bright red,97.2,75.3,53.3
Bright violet,75.4,75.1,55.1
Bright yellow,16.8,96.2,56.1
Brown,7.2,62.3,48.4
Brown,80.3,36.4,53.7
Cyan,50.9,100.0,46.7
Cyan tint white,50.8,100.0,95.3
Dark blue,60.9,88.6,31.7
Dark blue,63.3,87.8,31.5
Dark bluish grey,57.2,18.2,39.8
Dark brown,4.6,72.7,32.9
Dark brown,97.2,69.9,33.9
Dark cyan,49.8,93.8,28.6
Dark green,24.9,82.4,31.0
Dark grey,0.0,0.0,52.7
Dark greyish blue,62.9,11.4,58.5
Dark greyish blue,64.9,11.6,58.8
Dark greyish blue-purple,71.4,19.0,38.2
Dark greyish brown,3.3,20.3,52.2
Dark greyish cyan,48.5,10.2,49.9
Dark greyish green,24.6,13.3,48.9
Dark greyish green-cyan,41.3,13.8,50.6
Dark greyish lime green,34.9,3.8,48.5
Dark greyish orange,6.9,12.0,50.7
Dark greyish pink,90.8,12.4,54.4
Dark greyish purple,84.3,10.1,56.0
Dark greyish red,4.5,15.7,52.7
Dark greyish red,98.1,9.6,51.2
Dark greyish violet,77.6,9.7,49.3
Dark greyish yellow,14.6,5.2,49.9
Dark greyish yellow,15.9,4.0,51.0
Dark lime green,38.7,86.8,32.8
Dark medium red,97.1,47.9,35.0
Dark moderate blue,60.6,42.8,41.8
Dark moderate blue,63.6,43.1,41.0
Dark moderate blue-purple,71.4,49.2,37.1
Dark moderate brown,6.3,43.8,43.8
Dark moderate cyan,50.6,45.5,38.1
Dark moderate green,24.2,42.3,43.7
Dark moderate lime green,32.3,38.7,39.5
Dark moderate pink,94.3,43.9,45.0
Dark moderate pink-red,96.9,31.5,51.4
Dark moderate purple,69.7,45.5,41.9
Dark moderate purple,78.0,41.9,43.3
Dark moderate red,1.3,39.3,47.3
Dark moderate red,99.2,40.7,43.0
Dark moderate violet,71.9,29.9,49.2
Dark moderate violet,73.4,33.8,47.6
Dark moderate yellow,12.8,33.9,45.7
Dark moderate yellow-green,18.9,46.7,44.1
Dark olive,16.1,100.0,22.5
Dark pink,91.8,74.6,37.6
Dark pink-red,94.0,87.5,34.4
Dark purple,82.6,92.0,30.3
Dark red,0.5,66.2,39.7
Dark red,97.7,81.5,34.4
Dark violet,71.7,74.3,27.5
